,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
178,2014-11,,,,,,,,,7.894736842105262,,,0.0,0.8771929824561403,0.0,,,,,,0.0
179,2014-12,,,,,,,,,6.25,,,0.0,1.7857142857142856,0.0,,,,,,0.0
180,2015-01,,,,,,,,,4.385964912280701,,,0.0,2.631578947368421,0.0,,,,,,0.0
181,2015-02,,,,,,,,,6.779661016949151,,,0.0,4.23728813559322,0.0,,,,,,0.0
182,2015-03,,,,,,,,,9.821428571428571,,,0.0,4.464285714285714,0.0,,,,,,0.0
183,2015-04,,,,,,,,,10.434782608695652,,,0.0,4.3478260869565215,0.0,,,,,,0.0
184,2015-05,,,,,,,,,8.547008547008549,,,0.0,4.2735042735042725,0.0,,,,,,0.0
185,2015-06,,,,,,,,,9.917355371900827,,,0.0,4.132231404958678,0.0,,,,,,0.0
186,2015-07,,,,,,,,,9.016393442622949,,,0.0,4.0983606557377055,0.0,,,,,,0.0
187,2015-08,,,,,,,,,7.627118644067798,,,0.0,4.23728813559322,0.0,,,,,,0.0
188,2015-09,,,,,,,,,9.322033898305083,,,0.0,4.23728813559322,0.0,,,,,,0.0
189,2015-10,,,,,,,,,8.547008547008549,,,0.0,2.564102564102564,0.0,,,,,,0.0
190,2015-11,,,,,,,,,10.256410256410255,,,0.0,3.418803418803419,0.0,,,,,,0.0
191,2015-12,,,,,,,,,14.285714285714285,,,0.0,2.6785714285714284,0.0,,,,,,0.0
192,2016-01,,,,,,,,,13.91304347826087,,,0.0,1.7391304347826086,0.0,,,,,,0.0
193,2016-02,,,,,,,,,14.529914529914533,,,0.0,2.564102564102564,0.0,,,,,,0.0
194,2016-03,,,,,,,,,13.333333333333336,,,0.0,3.333333333333333,0.0,,,,,,0.0
195,2016-04,,,,,,,,,14.049586776859504,,,0.0,3.3057851239669422,0.0,,,,,,0.0
196,2016-05,,,,,,,,,12.396694214876034,,,0.0,2.479338842975207,0.0,,,,,,0.0
197,2016-06,,,,,,,,,12.396694214876034,,,0.0,2.479338842975207,0.0,,,,,,0.0
198,2016-07,,,,,,,,,9.448818897637793,,,0.0,1.574803149606299,0.0,,,,,,0.0
199,2016-08,,,,,,,,,6.9767441860465125,,,0.0,1.5503875968992251,0.0,,,,,,0.0
200,2016-09,,,,,,,,,8.59375,,,0.0,1.5625,0.0,,,,,,0.0
201,2016-10,,,,,,,,,7.633587786259542,,,0.0,1.5267175572519085,0.0,,,,,,0.0
202,2016-11,,,,,,,,,6.666666666666668,,,0.0,2.5,0.0,,,,,,0.0
203,2016-12,,,,,,,,,6.4,,,0.0,4.0,0.0,,,,,,0.0
204,2017-01,,,,,,,,,5.46875,,,0.0,2.34375,0.0,,,,,,0.0
205,2017-02,,,,,,,,,13.709677419354836,,,0.0,2.419354838709677,0.0,,,,,,0.0
206,2017-03,,,,,,,,,9.677419354838712,,,0.8064516129032258,2.419354838709677,0.0,,,,,,0.0
207,2017-04,,,,,,,,,12.295081967213116,,,0.819672131147541,2.459016393442623,0.0,,,,,,0.0
208,2017-05,,,,,,,,,9.917355371900827,,,1.6528925619834711,2.479338842975207,0.0,,,,,,0.0
209,2017-06,,,,,,,,,10.084033613445378,,,1.680672268907563,2.5210084033613445,0.0,,,,,,0.0
210,2017-07,,,,,,,,,10.92436974789916,,,1.680672268907563,1.680672268907563,0.0,,,,,,0.0
211,2017-08,,,,,,,,,9.401709401709402,,,1.7094017094017095,1.7094017094017095,0.0,,,,,,0.0
212,2017-09,,,,,,,,,10.526315789473683,,,1.7543859649122806,1.7543859649122806,0.0,,,,,,0.0
